schema,function_name,signature,sha256_of_definition
public,couranr_complete_payment_release,"p_obligation_id uuid, p_payment_intent_id text, p_intent_status text",11a8e96a43deddbd8360635069478b77f63bbe780512e657afb3ba9cb4f1c2c7
public,couranr_complete_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_observed_package_count integer, p_staff_first_name text, p_confirmed_vehicle_id uuid, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric, p_dimensions jsonb, p_loading_participants text, p_loading_equipment text, p_existing_damage text, p_driver_acknowledged boolean",1dcc179f1d26c43c9c00ad8fb0418f14a11384bd762ec076a400f23fbaaf8c16
public,couranr_complete_signature_delivery,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_signer_first_name text, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric",68e7d51cd2afc0b5ae152cd76de6416ca2445765a24c704653e61ce210b74629
public,couranr_confirm_service_plan,"p_request_id uuid, p_expected_version integer, p_actor_user_id uuid, p_pickup_start timestamp with time zone, p_pickup_end timestamp with time zone, p_timezone text, p_vehicle_id uuid, p_vehicle_requirement jsonb",01c99b8d4ccf08748fc6578d21e27fbddefa3c28c3ad8883b7edba2d912a20b8
public,couranr_conversation_thread,"p_conversation_id uuid, p_viewer_user_id uuid",c02a51041b44d87dc780a09bc8993d0c0a677efeee4e26d98d7ebcf4a4c8f5e5
public,couranr_create_delivery_from_capture,"p_request_id uuid",f8896080ad7f3cb47d84cd2b6800578192cd85aa327997d8fd680c9660e70944
public,couranr_create_delivery_request_draft,"p_business_account_id uuid, p_created_by uuid, p_idempotency_key text, p_source text, p_readiness_state text, p_payer_type text, p_recipient_name text, p_recipient_phone text, p_recipient_email text, p_loaded_miles numeric, p_weight_lb numeric, p_additional_stops integer, p_service_level text, p_signature_required boolean, p_proof_method text, p_pickup_address jsonb, p_dropoff_address jsonb, p_overnight_requested boolean, p_quote_status text, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_review_reasons jsonb",51211ee86fdc4d3b8ad71d3acba01bb35c6ffb37a992cff01eaba3f5ecc1fe75
public,couranr_create_dispatch_vehicle,"p_actor_user_id uuid, p_name text, p_vehicle_class text, p_payload_capacity_lb integer, p_assigned_driver_id uuid, p_cargo_length_in integer, p_cargo_width_in integer, p_cargo_height_in integer, p_enclosed boolean, p_has_ramp boolean, p_has_dolly boolean, p_has_tie_downs boolean, p_weather_protection boolean",0afe790cf1ccd3d3a1aae6875afbedb214bdf42f6545c73bde848ecd084799c4
public,couranr_create_driver_profile,"p_user_id uuid, p_actor_user_id uuid, p_display_name text, p_contact_phone text, p_market text",9b3574933d7e014da1cce96a2e3b477224e1f1e997f0b9273b0230fc3c04245d
public,couranr_create_merchant_customer,"p_business_account_id uuid, p_actor_user_id uuid, p_display_name text, p_email text, p_phone text, p_normalized_email text, p_normalized_phone text, p_payer_preference text, p_notes text",96aac7ee94eec436574bcf71a5755ebef5d36f45613743b922a0cf747d771c23
public,couranr_create_merchant_preset,"p_business_account_id uuid, p_actor_user_id uuid, p_name text, p_body jsonb, p_source_preset_id uuid",4d33c93bd7ce179a5512d8c6aa25a3dedb8f3607dc1a677ed138f6e002f9284c
public,couranr_create_merchant_workspace,"p_owner_user_id uuid, p_idempotency_key text, p_name text, p_slug_base text, p_business_category text, p_pickup_address jsonb, p_contact_phone text, p_payer_default text, p_policies_version text",b1136b1e7432e418aa025e0fc97f8c0082563eeacd6448bf3e2f4a9f4acb4bb3
public,couranr_create_payment_obligation,"p_request_id uuid, p_business_account_id uuid, p_idempotency_key text",46fbf179c924489fb8978ebfd5a94607f7ea5ed5c7dea1d81d8846600b1f05bf
public,couranr_create_proof_upload,"p_delivery_id uuid, p_actor_user_id uuid, p_proof_stage text, p_proof_type text, p_storage_bucket text, p_object_path text, p_expected_mime text, p_expected_bytes integer, p_upload_nonce text, p_ttl_minutes integer",c321d0eb6d69ec58b04fc0f67663ecb7c58d59e44ece96dc2461031211c13e4b
public,couranr_cv_kind_immutable,"",8c1131510b1a97b0dc7ed7001624c299f42b4a286bd2278ba2ec42fba6a242ad
public,couranr_cv_participant_kind_allowed,"p_conversation_kind text, p_participant_kind text",8781ed1632a18a412a24f8e2c97c1ad908adb69a68d18829aade6c0a4307bded
public,couranr_cv_visibility_allowed,"p_conversation_kind text, p_visibility text",f12fe8b4c1931a4d181e5c4b4faf7e4b00e2fdd5213f0a9b4a4c6cb3bae93f97
public,couranr_cvm_enforce_visibility,"",37cb629195d9418d860f98f78041f486d4ef24c1ffae661096679620ee68f86c
public,couranr_cvp_enforce_kind,"",8034b3d68fbb20c009210891d2a0e9bf1a6132a9a6883b7fae4739793f3c7c74
