object_type,schema,object_name,signature_or_table,production_exists,notes
function,public,couranr_create_delivery_request_draft,"p_business_account_id uuid, p_created_by uuid, p_idempotency_key text, p_source text, p_readiness_state text, p_payer_type text, p_recipient_name text, p_recipient_phone text, p_recipient_email text, p_loaded_miles numeric, p_weight_lb numeric, p_additional_stops integer, p_service_level text, p_signature_required boolean, p_proof_method text, p_pickup_address jsonb, p_dropoff_address jsonb, p_overnight_requested boolean, p_quote_status text, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_review_reasons jsonb",yes,security=invoker volatility=volatile
function,public,couranr_create_dispatch_vehicle,"p_actor_user_id uuid, p_name text, p_vehicle_class text, p_payload_capacity_lb integer, p_assigned_driver_id uuid, p_cargo_length_in integer, p_cargo_width_in integer, p_cargo_height_in integer, p_enclosed boolean, p_has_ramp boolean, p_has_dolly boolean, p_has_tie_downs boolean, p_weather_protection boolean",yes,security=invoker volatility=volatile
function,public,couranr_create_driver_profile,"p_user_id uuid, p_actor_user_id uuid, p_display_name text, p_contact_phone text, p_market text",yes,security=invoker volatility=volatile
function,public,couranr_create_merchant_customer,"p_business_account_id uuid, p_actor_user_id uuid, p_display_name text, p_email text, p_phone text, p_normalized_email text, p_normalized_phone text, p_payer_preference text, p_notes text",yes,security=invoker volatility=volatile
function,public,couranr_create_merchant_preset,"p_business_account_id uuid, p_actor_user_id uuid, p_name text, p_body jsonb, p_source_preset_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_create_merchant_workspace,"p_owner_user_id uuid, p_idempotency_key text, p_name text, p_slug_base text, p_business_category text, p_pickup_address jsonb, p_contact_phone text, p_payer_default text, p_policies_version text",yes,security=invoker volatility=volatile
function,public,couranr_create_payment_obligation,"p_request_id uuid, p_business_account_id uuid, p_idempotency_key text",yes,security=invoker volatility=volatile
function,public,couranr_create_proof_upload,"p_delivery_id uuid, p_actor_user_id uuid, p_proof_stage text, p_proof_type text, p_storage_bucket text, p_object_path text, p_expected_mime text, p_expected_bytes integer, p_upload_nonce text, p_ttl_minutes integer",yes,security=invoker volatility=volatile
function,public,couranr_cv_kind_immutable,"",yes,security=invoker volatility=volatile
function,public,couranr_cv_participant_kind_allowed,"p_conversation_kind text, p_participant_kind text",yes,security=invoker volatility=immutable
function,public,couranr_cv_visibility_allowed,"p_conversation_kind text, p_visibility text",yes,security=invoker volatility=immutable
function,public,couranr_cvm_enforce_visibility,"",yes,security=invoker volatility=volatile
function,public,couranr_cvp_enforce_kind,"",yes,security=invoker volatility=volatile
function,public,couranr_cvp_tenure_monotone,"",yes,security=invoker volatility=volatile
function,public,couranr_deactivate_driver,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_decide_activation,"p_business_account_id uuid, p_actor_user_id uuid, p_grant boolean, p_blocked_reason_code text",yes,security=invoker volatility=volatile
function,public,couranr_decline_delivery_request,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_decline_reason text, p_internal_note text",yes,security=invoker volatility=volatile
function,public,couranr_disable_member,"p_business_account_id uuid, p_actor_user_id uuid, p_member_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_driver_assignment_for,"p_delivery_id uuid, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_driver_completion_receipt,"p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_duplicate_merchant_preset,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_new_name text",yes,security=invoker volatility=volatile
function,public,couranr_fail_payment_capture,"p_obligation_id uuid, p_provider_event_id text, p_reason text",yes,security=invoker volatility=volatile
function,public,couranr_finalize_proof_upload,"p_upload_id uuid, p_actor_user_id uuid, p_actual_path text, p_actual_bytes integer, p_actual_mime text, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric, p_discrepancy_id uuid, p_metadata jsonb",yes,security=invoker volatility=volatile
function,public,couranr_find_user_id_by_email,"p_email text",yes,security=definer volatility=stable
function,public,couranr_finish_delivered,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_assignment_id uuid, p_command text, p_metadata jsonb",yes,security=invoker volatility=volatile
function,public,couranr_help_post_message,"p_token_id uuid, p_body text, p_topic text, p_idempotency_key text",yes,security=definer volatility=volatile
function,public,couranr_help_thread,"p_token_id uuid",yes,security=definer volatility=stable
function,public,couranr_invite_member,"p_business_account_id uuid, p_actor_user_id uuid, p_invited_user_id uuid, p_invited_email text, p_role text",yes,security=invoker volatility=volatile
function,public,couranr_is_within_operating_hours,"p_at timestamp with time zone",yes,security=invoker volatility=stable
function,public,couranr_issue_delivery_access_token,"p_request_id uuid, p_token_hash text, p_ttl_days integer",yes,security=invoker volatility=volatile
function,public,couranr_issue_handoff_code,"p_delivery_id uuid, p_code_kind text, p_code_digest text, p_actor_user_id uuid, p_ttl_minutes integer",yes,security=invoker volatility=volatile
function,public,couranr_issue_help_token,"p_delivery_id uuid, p_token_hash text, p_ttl_days integer",yes,security=definer volatility=volatile
function,public,couranr_issue_payment_access_token,"p_request_id uuid, p_obligation_id uuid, p_token_hash text, p_ttl_days integer",yes,security=invoker volatility=volatile
function,public,couranr_jsonb_audit_shape_ok,"p_doc jsonb, p_keys text[], p_max_len integer",yes,security=invoker volatility=immutable
function,public,couranr_jsonb_has_no_key,"p_doc jsonb, p_keys text[]",yes,security=invoker volatility=immutable
function,public,couranr_lock_activation,"p_business_account_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_lock_and_count_active_owners,"p_business_account_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_mark_delivery_not_ready,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_mark_delivery_ready,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_mark_delivery_unavailable,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_mark_driver_available,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
